идти	11568	речь	4666	n	2624	5.366879688261415	13.420362119536899
выражать	508	соболезнование	221	a	123	9.028779489267578	13.399482685084003
ждать	4107	нетерпение	179	i	124	5.225950912447351	12.888107119929103
сообщить	9811	пресс-службе	1238	l	471	3.447671142702394	12.651967306198559
сообщать	4942	пресс-служба	1049	n	593	6.6013601492186	12.569836601618027
сообщать	4942	ссылка	1105	i	286	3.5386009984745983	12.555318107699353
принять	5480	участие	8638	a	1711	4.107034495526437	12.504011844273663
защитить	246	диссертация	241	a	61	8.93818572608562	12.496109109926161
говориться	3199	сообщение	3532	l	704	4.1318246835032095	12.42463265606003
передавать	1929	риа	3070	g	656	6.562257120959215	12.304644376304797
прийти	6847	вывод	2797	d	514	2.093479832108016	12.27303311322887
даваться	401	диво	51	d	24	7.543854850777206	12.227410496103072
потерпеть	231	фиаско	74	a	18	8.97157482448924	12.169925001442312
пользоваться	1587	популярность	1079	i	212	4.779794503543788	12.152381207728668
отдавать	732	предпочтение	539	a	101	6.931222411807182	11.93711229404461
носить	1239	характер	2797	a	377	5.696647932743806	11.919984799278193
передавать	1929	новость	4955	n	681	5.918354330467765	11.891383437687221
обратиться	2589	просьба	2049	i	257	3.4261806415863076	11.843233220436973
сообщать	4942	риа	3070	g	568	4.997210368566133	11.822475182699527
провалиться	200	треск	74	i	11	7.36556167453741	11.745186100971175
вести	3903	переговоры	2841	a	369	3.987778372523838	11.678854065631057
иметь	11708	значение	2004	a	400	3.022834596262701	11.672312635823953
вынести	703	вердикт	374	a	63	6.835856814631679	11.671218234071574
удовлетворить	308	ходатайство	426	a	51	7.533781411142691	11.641758205724553
подписать	1348	указ	863	a	109	5.481215024508048	11.636327364168134
дышать	233	ладан	36	n	17	10.748501807732396	11.63625172941801
обратить	786	внимание	6660	a	674	5.939765047056563	11.629247927056173
произвести	517	фурор	50	a	29	9.062956565129848	11.554200246950469
соответствовать	1368	действительность	646	g	146	7.138947173947971	11.550483850227785
собирать	934	крупица	48	d	13	5.52697459619274	11.540568381362704
внести	945	корректива	136	a	47	7.445807721410798	11.502020800873485
попасться	229	удочка	103	a	14	8.144502836869377	11.458626767826527
иметь	11708	право	10779	a	1098	2.0523718179650627	11.45782090097158
принимать	2817	участие	8638	a	803	3.975682958027297	11.455114938654178
вызвать	2195	резонанс	280	a	83	6.008603420071173	11.453198494272435
завоевать	594	бронза	366	a	43	6.559098025709225	11.437580067929932
потерпеть	231	крушение	279	a	28	7.694336798904295	11.427976554986342
составить	5845	миллиард	12104	g	1185	3.8368532467976424	11.42501454235843
настать	310	черед	78	a	14	8.108680528013053	11.40647548577542
произвести	517	впечатление	1792	a	170	6.450867773857098	11.402363669243734
